graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
randomRegular_20_4_20.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.14999999999999997,1,1,1,1,19,417.0,False,False,False,3,0.15,4,4,False,0.16666666666666663,0.5390350877192992,True,False
fastGnp_100_0.2_16.adjlist,100,985,0.198989898989899,19.7,20.0,14.65,5.0,3.0180000000000007,11,0.20026091707379823,1,1,1,1,99,8994.0,False,False,False,5,0.19846491228070176,11,11,False,0.5160924276577747,0.5968350168350155,False,False
powerLawTree_20_4_18.adjlist,20,19,0.1,1.9,1.0,1.89,1.25,1.08,1,0.0,1,1,1,1,13,742.0,True,True,True,2,0.0,1,1,False,0.0,0.35996658312447755,False,False
randomRegular_100_5_14.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.030000000000000013,1,1,1,1,99,15135.0,False,False,False,3,0.03,5,5,False,0.03300000000000001,0.3693939393939603,False,False
fastGnp_1000_0.2_7.adjlist,1000,43532,0.08715115115115116,87.064,52.0,4372.905904,19.0,56.572383999999985,31,0.17742936933998704,1,1,1,1,493,955481.0,False,False,False,6,0.10712842814020787,31,31,False,0.5707724309375894,0.5435712379045711,False,False
powerLawTree_20_4_10.adjlist,20,19,0.1,1.9,1.0,4.789999999999999,1.0,1.17,1,0.0,1,1,1,1,9,663.0,True,True,True,2,0.0,1,1,False,0.0,0.3998120300751876,False,False
randomRegular_20_4_28.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.175,1,1,1,1,18,418.0,False,False,False,3,0.175,4,4,False,0.20277777777777772,0.5390350877192992,True,False
fastGnp_1000_0.2_25.adjlist,1000,84751,0.16967167167167166,169.502,188.0,1570.847996,77.0,36.998571999999996,94,0.18154109507683777,1,1,1,1,999,914249.0,False,False,False,7,0.17550497516383928,94,94,False,0.5899301083552283,0.5848358358358359,False,False
powerLawTree_20_4_14.adjlist,20,19,0.1,1.9,1.0,2.29,1.0,1.08,1,0.0,1,1,1,1,11,736.0,True,True,True,2,0.0,1,1,False,0.0,0.3655576441102754,False,False
randomRegular_100_5_18.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.033000000000000015,1,1,1,1,99,14953.0,False,False,False,3,0.033,5,5,False,0.034000000000000016,0.3724545454545686,False,False
fastGnp_1000_0.2_3.adjlist,1000,49860,0.09981981981981981,99.72,62.0,4261.3616,132.25,58.82096000000001,41,0.17292836432964284,1,1,1,1,581,949141.0,False,False,False,6,0.11769012854359792,41,41,False,0.5733646191682609,0.5499095762429096,False,False
fastGnp_1000_0.2_21.adjlist,1000,78981,0.1581201201201201,157.962,181.0,2164.390556,91.0,44.937419999999996,85,0.17717093363256653,1,1,1,1,999,920019.0,False,False,False,7,0.1665560395189303,85,85,False,0.5869804065801388,0.5790600600600601,False,False
powerLawTree_1000_3_14.adjlist,1000,999,0.002,1.998,1.0,6.851996000000001,1.0,1.091812,1,0.0,1,1,1,1,629,71224166.0,True,True,True,2,0.0,1,1,False,0.0,0.03438132306691142,False,False
powerLawTree_20_3_26.adjlist,20,19,0.1,1.9,1.0,6.789999999999999,1.0,1.2599999999999998,1,0.0,1,1,1,1,7,583.0,True,True,True,2,0.0,1,1,False,0.0,0.43270676691729304,False,False
powerLawTree_20_4_1.adjlist,20,19,0.1,1.9,1.0,2.6899999999999995,1.0,1.0799999999999998,1,0.0,1,1,1,1,11,740.0,True,True,True,2,0.0,1,1,False,0.0,0.3682915622389305,False,False
fastGnp_100_0.1_15.adjlist,100,492,0.0993939393939394,9.84,9.0,6.4944,4.0,2.0936,4,0.10316565787154021,1,1,1,1,99,11089.0,False,False,False,4,0.10333761232349166,4,4,False,0.1532984173389635,0.49324915824915794,False,False
powerLawTree_1000_3_2.adjlist,1000,999,0.002,1.998,1.0,18.357996,1.0,1.1576799999999998,1,0.0,1,1,1,1,565,64765105.0,True,True,True,2,0.0,1,1,False,0.0,0.04715154449979148,False,False
powerLawTree_1000_3_6.adjlist,1000,999,0.002,1.998,1.0,4.8459959999999995,1.0,1.073848,1,0.0,1,1,1,1,627,72782028.0,True,True,True,2,0.0,1,1,False,0.0,0.03387483740386347,False,False
fastGnp_20_0.1_8.adjlist,17,20,0.14705882352941177,2.3529411764705883,2.0,1.1695501730103806,1.0,0.8858131487889274,0,0.0,1,1,1,1,16,inf,False,True,False,2,0.0,0,0,False,0.0,0.38075980392156833,False,False
powerLawTree_1000_3_10.adjlist,1000,999,0.002,1.998,1.0,5.867996,1.0,1.1017919999999999,1,0.0,1,1,1,1,615,69852947.0,True,True,True,2,0.0,1,1,False,0.0,0.0348020795418674,False,False
powerLawTree_20_3_22.adjlist,20,19,0.1,1.9,1.0,2.6899999999999995,1.0,1.0799999999999998,1,0.0,1,1,1,1,11,740.0,True,True,True,2,0.0,1,1,False,0.0,0.3682915622389305,False,False
fastGnp_100_0.1_11.adjlist,100,490,0.09898989898989899,9.8,10.0,5.04,4.0,1.8439999999999994,4,0.07936857586857586,1,1,1,1,99,11106.0,False,False,False,3,0.08150744960560911,4,4,False,0.11223682798682798,0.49247474747474657,False,False
powerLawTree_20_4_5.adjlist,20,19,0.1,1.9,1.0,4.39,1.0,1.2599999999999998,1,0.0,1,1,1,1,7,591.0,True,True,True,2,0.0,1,1,False,0.0,0.41566416040100224,False,False
